标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发布日期,二级效力级别,发文字号,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国刑法(2023修正)第二十条,中华人民共和国刑法(2023修正),中华人民共和国刑法(2023修正)第二十条,第二十条,"　【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",现行有效,法律,全国人大常委会,2024-03-01,2023-12-29,法律,," - 《中华人民共和国刑法(2023修正)》第二十条##　【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",46.350925,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=20,aecabfbe6b0843642509a7f1ff865413,aecabfbe6b0843642509a7f1ff865413_20
中华人民共和国刑法(2002修正)第二十条,中华人民共和国刑法(2002修正),中华人民共和国刑法(2002修正)第二十条,第二十条,"【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人民代表大会,2002-12-28,2002-12-28,法律,," - 《中华人民共和国刑法(2002修正)》第二十条##【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.37947,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d226b84463a4fe5690d286aa5d82b6d3?text=20,d226b84463a4fe5690d286aa5d82b6d3,d226b84463a4fe5690d286aa5d82b6d3_20
中华人民共和国刑法(2001第二次修正)第二十条,中华人民共和国刑法(2001第二次修正),中华人民共和国刑法(2001第二次修正)第二十条,第二十条,"【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人民代表大会,2001-12-29,2001-12-29,法律,," - 《中华人民共和国刑法(2001第二次修正)》第二十条##【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.350925,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c252749f2395cfe2a865cd67723151a5?text=20,c252749f2395cfe2a865cd67723151a5,c252749f2395cfe2a865cd67723151a5_20
中华人民共和国刑法(2020修正)第二十条,中华人民共和国刑法(2020修正),中华人民共和国刑法(2020修正)第二十条,第二十条,"【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人民代表大会,2021-03-01,2020-12-26,法律,中华人民共和国主席令第66号," - 《中华人民共和国刑法(2020修正)》第二十条##【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.334675,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c35e326807b739eeb07578c0f00edfcb?text=20,c35e326807b739eeb07578c0f00edfcb,c35e326807b739eeb07578c0f00edfcb_20
中华人民共和国刑法(2009第二次修正)第二十条,中华人民共和国刑法(2009第二次修正),中华人民共和国刑法(2009第二次修正)第二十条,第二十条,"【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人大常委会,2009-08-27,2009-08-27,法律,," - 《中华人民共和国刑法(2009第二次修正)》第二十条##【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.243538,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6f85d36dad519620f103f76f9195ccd7?text=20,6f85d36dad519620f103f76f9195ccd7,6f85d36dad519620f103f76f9195ccd7_20
中华人民共和国刑法(2015修正)第二十条,中华人民共和国刑法(2015修正),中华人民共和国刑法(2015修正)第二十条,第二十条,"【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人民代表大会,2015-11-01,2015-08-29,法律,," - 《中华人民共和国刑法(2015修正)》第二十条##【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.23648,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3b9fae69b54227ce1acd871b0845fe1e?text=20,3b9fae69b54227ce1acd871b0845fe1e,3b9fae69b54227ce1acd871b0845fe1e_20
中华人民共和国刑法(2009第一次修正)第二十条,中华人民共和国刑法(2009第一次修正),中华人民共和国刑法(2009第一次修正)第二十条,第二十条,"【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人民代表大会,2009-02-28,2009-02-28,法律,," - 《中华人民共和国刑法(2009第一次修正)》第二十条##【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.229034,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3fcfe8d53a932ac0438f9a78cbb00089?text=20,3fcfe8d53a932ac0438f9a78cbb00089,3fcfe8d53a932ac0438f9a78cbb00089_20
中华人民共和国刑法(1998修正)第二十条,中华人民共和国刑法(1998修正),中华人民共和国刑法(1998修正)第二十条,第二十条,"　【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人大常委会,1998-12-29,1998-12-29,法律,," - 《中华人民共和国刑法(1998修正)》第二十条##　【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.229034,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/eedfe979de2464c59dd3baf6b9fd32e9?text=20,eedfe979de2464c59dd3baf6b9fd32e9,eedfe979de2464c59dd3baf6b9fd32e9_20
中华人民共和国刑法(2005修正)第二十条,中华人民共和国刑法(2005修正),中华人民共和国刑法(2005修正)第二十条,第二十条,"【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人民代表大会,2005-02-28,2005-02-28,法律,," - 《中华人民共和国刑法(2005修正)》第二十条##【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.193657,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/559c6b523d8d1007db0fe2a7d9454936?text=20,559c6b523d8d1007db0fe2a7d9454936,559c6b523d8d1007db0fe2a7d9454936_20
中华人民共和国刑法(2001第一次修正)第二十条,中华人民共和国刑法(2001第一次修正),中华人民共和国刑法(2001第一次修正)第二十条,第二十条,"【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",已被修改,法律,全国人民代表大会,2001-08-31,2001-08-31,法律,," - 《中华人民共和国刑法(2001第一次修正)》第二十条##【正当防卫】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在进行的不法侵害，而采取的制止不法侵害的行为，对不法侵害人造成损害的，属于正当防卫，不负刑事责任。 
正当防卫明显超过必要限度造成重大损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
对正在进行行凶、杀人、抢劫、强奸、绑架以及其他严重危及人身安全的暴力犯罪，采取防卫行为，造成不法侵害人伤亡的，不属于防卫过当，不负刑事责任。",41.193657,20,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/02311b1868bbc53cc46923b4c616fedd?text=20,02311b1868bbc53cc46923b4c616fedd,02311b1868bbc53cc46923b4c616fedd_20
