法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国保守国家秘密法(2024修订),第二条,　国家秘密是关系国家安全和利益，依照法定程序确定，在一定时间内只限一定范围的人员知悉的事项。,现行有效,法律,法律,中央,20240501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6cc7a0341e0a2f0fc150785d52fc139d?text=2,6cc7a0341e0a2f0fc150785d52fc139d_2,6cc7a0341e0a2f0fc150785d52fc139d,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.198512,1
中华人民共和国保守国家秘密法(2024修订),第五条,"　国家秘密受法律保护。
一切国家机关和武装力量、各政党和各人民团体、企业事业组织和其他社会组织以及公民都有保密的义务。
任何危害国家秘密安全的行为，都必须受到法律追究。",现行有效,法律,法律,中央,20240501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6cc7a0341e0a2f0fc150785d52fc139d?text=5,6cc7a0341e0a2f0fc150785d52fc139d_5,6cc7a0341e0a2f0fc150785d52fc139d,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.19724462,1
中华人民共和国保守国家秘密法(2024修订),第十三条,"　下列涉及国家安全和利益的事项，泄露后可能损害国家在政治、经济、国防、外交等领域的安全和利益的，应当确定为国家秘密：
（一）国家事务重大决策中的秘密事项；
（二）国防建设和武装力量活动中的秘密事项；
（三）外交和外事活动中的秘密事项以及对外承担保密义务的秘密事项；
（四）国民经济和社会发展中的秘密事项；
（五）科学技术中的秘密事项；
（六）维护国家安全活动和追查刑事犯罪中的秘密事项；
（七）经国家保密行政管理部门确定的其他秘密事项。
政党的秘密事项中符合前款规定的，属于国家秘密。",现行有效,法律,法律,中央,20240501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6cc7a0341e0a2f0fc150785d52fc139d?text=13,6cc7a0341e0a2f0fc150785d52fc139d_13,6cc7a0341e0a2f0fc150785d52fc139d,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.19380836,1
中华人民共和国保守国家秘密法(2024修订),第十四条,"　国家秘密的密级分为绝密、机密、秘密三级。
绝密级国家秘密是最重要的国家秘密，泄露会使国家安全和利益遭受特别严重的损害；机密级国家秘密是重要的国家秘密，泄露会使国家安全和利益遭受严重的损害；秘密级国家秘密是一般的国家秘密，泄露会使国家安全和利益遭受损害。",现行有效,法律,法律,中央,20240501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6cc7a0341e0a2f0fc150785d52fc139d?text=14,6cc7a0341e0a2f0fc150785d52fc139d_14,6cc7a0341e0a2f0fc150785d52fc139d,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.1838860039999999,1
中华人民共和国保守国家秘密法(2024修订),第二十九条,"　禁止非法复制、记录、存储国家秘密。
禁止未按照国家保密规定和标准采取有效保密措施，在互联网及其他公共信息网络或者有线和无线通信中传递国家秘密。
禁止在私人交往和通信中涉及国家秘密。",现行有效,法律,法律,中央,20240501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6cc7a0341e0a2f0fc150785d52fc139d?text=29,6cc7a0341e0a2f0fc150785d52fc139d_29,6cc7a0341e0a2f0fc150785d52fc139d,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.17954564,1
中华人民共和国保守国家秘密法(2024修订),第二十七条,　属于国家秘密的设备、产品的研制、生产、运输、使用、保存、维修和销毁，应当符合国家保密规定。,现行有效,法律,法律,中央,20240501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6cc7a0341e0a2f0fc150785d52fc139d?text=27,6cc7a0341e0a2f0fc150785d52fc139d_27,6cc7a0341e0a2f0fc150785d52fc139d,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.15461444,1
中华人民共和国反间谍法(2023修订),第十四条,任何个人和组织都不得非法获取、持有属于国家秘密的文件、数据、资料、物品。,现行有效,法律,法律,中央,20230701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9b79780862e6f2586dace85331e6f989?text=14,9b79780862e6f2586dace85331e6f989_14,9b79780862e6f2586dace85331e6f989,[],1.13697396,1
中华人民共和国保守国家秘密法(2024修订),第二十四条,"　机关、单位应当每年审核所确定的国家秘密。
国家秘密的保密期限已满的，自行解密。在保密期限内因保密事项范围调整不再作为国家秘密，或者公开后不会损害国家安全和利益，不需要继续保密的，应当及时解密；需要延长保密期限的，应当在原保密期限届满前重新确定密级、保密期限和知悉范围。提前解密或者延长保密期限的，由原定密机关、单位决定，也可以由其上级机关决定。",现行有效,法律,法律,中央,20240501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6cc7a0341e0a2f0fc150785d52fc139d?text=24,6cc7a0341e0a2f0fc150785d52fc139d_24,6cc7a0341e0a2f0fc150785d52fc139d,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.1144016,1
民政部关于印发《民政部门实施＜中华人民共和国保守国家秘密法＞细则》的通知,第三条,　保守民政工作中的国家秘密是民政干部职工的义务，每个民政干部职工对失密、泄密或非法获取国家秘密的行为负有制止、举报和采取补救措施的义务。,现行有效,部门规章,部门规范性文件,,19930501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a409f74f5cbca807d4d2ce6a5cd3d875?text=3,a409f74f5cbca807d4d2ce6a5cd3d875_3,a409f74f5cbca807d4d2ce6a5cd3d875,[],1.08948466,1
中华人民共和国保守国家秘密法实施条例(2024修订),第五条,　国家机关和涉及国家秘密的单位（以下简称机关、单位）不得将依法应当公开的事项确定为国家秘密，不得将涉及国家秘密的信息公开。,现行有效,行政法规,行政法规,中央,20240901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/029522d2b6d1a8a55ab1b85264d35657?text=5,029522d2b6d1a8a55ab1b85264d35657_5,029522d2b6d1a8a55ab1b85264d35657,[],1.08653457,1
